CCG Comments,CMU ,FY,Last Stage Reached,Project Assessed,Project ID,Project Name,Approval Date,Approval Step,CO Team Lead,Could count for more adaptation,Could count for more mitigation,Country,FY Probability,GP,Lending Instrument,Potential (Y/N),Practice Group,Practice Manager Name,Region,Requesting Cost Center Code,Responsible Cost Center Code,Responsible Cost Center Name,Team Lead Name,TLN CDRS: Project compliant with CDRS requirement?,TLN CI: Climate indicator included?,TLN CI: Name of Climate Indicator,TLN CI: Project compliant with CI requirement?,TLN GHG: Applicable to operation,TLN GHG: GHG lifetime,"TLN GHG: Gross Emissions  (tCO2e, lifetime)","TLN GHG: Net Emissions (annual average, tCO2e/year)","TLN GHG: Net Emissions (economic lifetime, tCO2e)",TLN GHG: Status of data,TN1: % (Climate Co-Benefits Over Total IDA/IBRD Commitment),TN2: Net IDA/IBRD Adaptation ($M) ,TN3: Net IDA/IBRD Mitigation ($M) ,TN4: Total IDA/IBRD Climate Co-Benefits ($M) ,TN5: % (IBRD Climate Co-Benefits Over Total IBRD Commitment),TN6: % (IDA Climate Co-Benefits Over Total IDA Commitment),TN7: Net IBRD Adaptation ($M),TN8: IBRD Climate Co-Benefits ($M),TN9: Net IBRD Mitigation ($M),TO1: Net IDA Adaptation ($M),TO2: IDA Climate Co-Benefits ($M),TO3: Net IDA Mitigation ($M),TO4: IBRD Commitment ($M),TO5: IDA Commitment ($M),TO6: Total IDA/IBRD Commitment ($M),TO7: Gross IDA/IBRD Adaptation ($M),TO8: Gross IDA/IBRD Mitigation ($M),TO9: Dual Benefit Finance ($M)
 ,AECC2-AFE,FY20,Bank Approved,Assessed,P169779,Strengthening the National Social Protection System Project (Cash Transfer),7/16/2019,A,000452513 | Emma Mercedes Monsalve Montiel ~ 000274249 | Aylin Isik-Dikmelik ~ 000484737 | Federica Ricaldi ~,0,0,Angola,Firm,Social Protection and Jobs,Investment,No,GGHVP,Suleiman Namara,AFE,AECC2,HAES2,Social Protection AFR E2,Emma Mercedes Monsalve Montiel,Yes,,,,,,,,,,1.08%,0,3.4399999999999999,3.4399999999999999,0.01075,0,0,3.44,3.44,0,0,0,320,0,320,,,
 ,AECC2-AFE,FY20,Bank Approved,Assessed,P171821,STEP Second Additional Financing,5/20/2020,A,000348128 | Paul G. A. Bance ~ 000021775 | John A. Elder,0,0,Congo Democratic Republic of,Firm,Social Protection and Jobs,Investment,No,GGHVP,Suleiman Namara,AFE,AECC2,HAES2,Social Protection AFR E2,Paul G. A. Bance,Yes,,,,,,,,,,32.70%,124.17,21.350000000000001,145.52000000000001,0,0.327011236,0,0,0,124.17,145.52,21.35,0,445,445,,,
 ,AECC2-AFE,FY20,Bank Approved,Assessed,P172341,DR Congo Emergency Equity and System Strengthening in Education,6/15/2020,A,000493670 | Boubakar Lompo ~ 000289829 | Kokou Sefako Amelewonou ~ 000240692 | Ruxandra Burdescu ~,0,0,Congo Democratic Republic of,Firm,Education,Investment,No,GGHVP,Meskerem Mulatu,AFE,AECC2,HAEE2,Education AFR E2,Boubakar Lompo,Yes,,,,,,,,,,14.22%,83.430000000000007,30.289999999999999,113.72,0,0.14215,0,0,0,83.43,113.72,30.29,0,800,800,,,
 ,AECC2-AFE,FY20,Bank Approved,Assessed,P173415,Fourth Additional Financing for Health System Strengthening for Better Maternal and Child Health Results Project,6/11/2020,A,000086639 | Hadia Nazem Samaha ~ 000484577 | Avril Dawn Kaplan,0,0,Congo Democratic Republic of,Firm,Health Nutrition and Population,Investment,No,GGHVP,Francisca Ayodeji Akala,AFE,AECC2,HAEH2,HEALTH AFR E2,Hadia Nazem Samaha,Yes,,,,,,,,,,5.34%,10.67,0,10.67,0,0.05335,0,0,0,10.67,10.67,0,0,200,200,,,
 ,AECC2-AFE,FY20,Bank Approved,Assessed,P173783,STP COVID-19 Emergency Response Project,4/2/2020,A,000258212 | Humberto Albino Cossa ~ 000290682 | Renzo Efren Sotomayor Noel,0,0,Sao Tome and Principe,Firm,Health Nutrition and Population,Investment,No,GGHVP,Francisca Ayodeji Akala,AFE,AECC2,HAEH2,HEALTH AFR E2,Humberto Albino Cossa,Yes,,,,,,,,,,0.32%,0.0081,0,0.0081,0,0.00324,0,0,0,0.0081,0.0081,0,0,2.5,2.5,,,
 ,AECC2-AFE,FY20,Bank Approved,Assessed,P173825,DRC COVID-19 Strategic Preparedness and Response Project (SPRP),4/2/2020,A,000314213 | Ghulam Dastagir Sayed ~ 000460073 | Michel Muvudi Lushimba ~ 000552508 | Meta Mobula ~,0,0,Congo Democratic Republic of,Firm,Health Nutrition and Population,Investment,No,GGHVP,Francisca Ayodeji Akala,AFE,AECC2,HAEH2,HEALTH AFR E2,Ghulam Dastagir Sayed,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,47.2,47.2,,,
 ,AECC2-AFE,FY20,Bank Approved,Assessed,P173845,Burundi COVID19 Preparedness and Response Project,4/10/2020,A,000388629 | Olivier Basenya ~ 000314213 | Ghulam Dastagir Sayed,0,0,Burundi,Firm,Health Nutrition and Population,Investment,No,GGHVP,Francisca Ayodeji Akala,AFE,AECC2,HAEH2,HEALTH AFR E2,Olivier Basenya,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,
 ,AECC2-AFE,FY19,Bank Approved,Assessed,P160806,DRC- SME Development and Growth Project,7/6/2018,A,000196934 | Magueye Dia ~ 000245567 | Natalia Agapitova,0,0,Congo Democratic Republic of,Firm,Finance Competitiveness and Innovation,Investment,No,GGEVP,Consolate K. Rusagara,AFE,AECC2,EAEF2,EFI-AFR1-FCI-Finance-2,Magueye Dia,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,,
 ,AECC2-AFE,FY19,Bank Approved,Assessed,P161842,Sao Tome e Principe Transport Sector Development and Coastal Protection Project,3/22/2019,A,000514293 | Juan Miguel Velasquez Torres ~ 000272297 | Mustapha Benmaamar,0,0,Sao Tome and Principe,Firm,Transport,Investment,No,GGIVP,Almud Weitz,AFE,AECC2,IAET1,Transport-East Africa,Juan Miguel Velasquez Torres,Yes,,,,Y,20,"132,290",-292,"-5,839",GHG data finalized,95.66%,21.120000000000001,6.6200000000000001,27.739999999999998,0,0.956551724,0,0,0,21.12,27.74,6.62,0,29,29,,,
 ,AECC2-AFE,FY19,Bank Approved,Assessed,P163088,Social Protection and Skills Development Project,9/27/2018,A,000267504 | Peter Anthony Holland ~,0,0,Sao Tome and Principe,Firm,Social Protection and Jobs,Investment,No,GGHVP,Meskerem Mulatu,AFE,AECC2,HAEE2,Education AFR E2,Peter Anthony Holland,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,
 ,AECC2-AFE,FY19,Bank Approved,Assessed,P166763,DRC - Gender Based Violence Prevention and Response Project,8/30/2018,A,000234231 | Hiska Noemi Reyes ~,0,0,Congo Democratic Republic of,Firm,Social Urban Rural and Resilience,Investment,No,GGSVP,Varalakshmi Vemuru,AFE,AECC2,SAES3,Social AFR 3,Hiska Noemi Reyes,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,,
 ,AECC2-AFE,FY19,Bank Approved,Assessed,P168756,DRC Multisectoral Nutrition and Health Project,5/28/2019,A,000344319 | Lisa Shireen Saldanha ~ 000460073 | Michel Muvudi Lushimba ~ 000315867 | Wezi Marianne Msisha ~,0,0,Congo Democratic Republic of,Firm,Health Nutrition and Population,Investment,No,GGHVP,Francisca Ayodeji Akala,AFE,AECC2,HAEH2,HEALTH AFR E2,Lisa Shireen Saldanha,Yes,,,,,,,,,,2.64%,8.3599999999999994,4.6100000000000003,12.970000000000001,0,0.026361789,0,0,0,8.36,12.97,4.61,0,492,492,,,
 ,AECC2-AFE,FY19,Bank Approved,Assessed,P169753,AF III DRC Health System Strengthening for Better Maternal and Child Health Results,2/27/2019,A,000086639 | Hadia Nazem Samaha ~,0,0,Congo Democratic Republic of,Firm,Health Nutrition and Population,Investment,No,GGHVP,Francisca Ayodeji Akala,AFE,AECC2,HAEH2,HEALTH AFR E2,Hadia Nazem Samaha,Yes,,,,,,,,,,6.23%,7.4800000000000004,0,7.4800000000000004,0,0.062333333,0,0,0,7.48,7.48,0,0,120,120,,,
 ,AECC2-AFE,FY17,Bank Approved,Assessed,P151224,AO:Water Sector Institutional Dev.2,3/10/2017,A,000395117 | Marco Antonio Aguero ~ 000316880 | Berta Adelaide Da Silva Macheve,0,0,Angola,Firm,Water,Investment,No,GGSVP,Soma Ghosh Moulik,AFE,AECC2,SAEW2,Water Africa 3,Marco Antonio Aguero,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,200,0,200,,,
 ,AECC2-AFE,FY17,Bank Approved,Assessed,P151835,BI-Social Safety Nets (Merankabandi),12/15/2016,A,000021290 | Philippe Auffret ~,0,0,Burundi,Firm,Social Protection and Jobs,Investment,No,GGHVP,Suleiman Namara,AFE,AECC2,HAES2,Social Protection AFR E2,Philippe Auffret,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,40,40,,,
 ,AECC2-AFE,FY17,Bank Approved,Assessed,P154447,AO -Smallholder Agr. Dev.,7/5/2016,A,000152409 | Aniceto Timoteo Bila ~,0,0,Angola,Firm,Agriculture and Food,Investment,No,GGSVP,Shobha Shetty,AFE,AECC2,SAEA2,Agriculture and Food PG AFR2,Aniceto Timoteo Bila,Yes,,,,,,,,,,30.90%,0,21.629999999999999,21.629999999999999,0.309,0,0,21.63,21.63,0,0,0,70,0,70,,,
 ,AECC2-AFE,FY17,Bank Approved,Assessed,P156012,Health System Support Project (KIRA),2/24/2017,A,000341313 | Omer Ramses Zang Sidjou ~ 000388629 | Olivier Basenya,0,0,Burundi,Firm,Health Nutrition and Population,Investment,No,GGHVP,Francisca Ayodeji Akala,AFE,AECC2,HAEH2,HEALTH AFR E2,Omer Ramses Zang Sidjou,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,50,50,,,
 ,AECC2-AFE,FY17,Bank Approved,Assessed,P156208,Electricity Access & Services Expansion,5/4/2017,A,000499517 | Jean-Pierre Lungenyi Ntombolo ~ 000541669 | Didier Makoso Tsasa,0,0,Congo Democratic Republic of,Firm,Energy and Extractives,Investment,No,GGIVP,Yadviga Viktorivna Semikolenova,AFE,AECC2,IAEE3,Infra AFR Energy 3,Jean-Pierre Lungenyi Ntombolo,Yes,,,,,,,,,,46.76%,0,67.799000000000007,67.799000000000007,0,0.46757931,0,0,0,0,67.799,67.799,0,145,145,,,
 ,AECC2-AFE,FY17,Bank Approved,Assessed,P157096,STP Power Sector Recovery Project,7/5/2016,A,000434673 | Samuel Kwesi Ewuah Oguah ~ 000590156 | Leonardo Kilele Tshama,0,0,Sao Tome and Principe,Firm,Energy and Extractives,Investment,No,GGIVP,Yadviga Viktorivna Semikolenova,AFE,AECC2,IAEE3,Infra AFR Energy 3,Samuel Kwesi Ewuah Oguah,Yes,,,,,,,,,,66.09%,0,10.574,10.574,0,0.660875,0,0,0,0,10.574,10.574,0,16,16,,,
 ,AECC2-AFE,FY17,Bank Approved,Assessed,P157114,DRC - Urban Development Project AF,5/4/2017,A,000250580 | Mahine Diop ~,0,0,Congo Democratic Republic of,Firm,Social Urban Rural and Resilience,Investment,No,GGSVP,Catalina Marulanda,AFE,AECC2,IAEU2,Urban DRM AFR East and South 2,Mahine Diop,Yes,,,,,,,,,,1.95%,1.7549999999999999,0,1.7549999999999999,0,0.0195,0,0,0,1.755,1.755,0,0,90,90,,,
 ,AECC2-AFE,FY17,Bank Approved,Assessed,P157671,Angola Statistics Project,12/7/2016,A,000454408 | Liliana Do Couto Sousa ~,0,0,Angola,Firm,Poverty and Equity,Investment,No,GGEVP,Rinku Murgai,AFE,AECC2,EAEPV,EFI-AFR1-POV-Poverty and Equity,Liliana Do Couto Sousa,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,62,0,62,,,
 ,AECC2-AFE,FY17,Bank Approved,Assessed,P157864,DRC AF Health System Strengthening,3/31/2017,A,000086639 | Hadia Nazem Samaha ~,0,0,Congo Democratic Republic of,Firm,Health Nutrition and Population,Investment,No,GGHVP,Francisca Ayodeji Akala,AFE,AECC2,HAEH2,HEALTH AFR E2,Hadia Nazem Samaha,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,120,120,,,
 ,AECC2-AFE,FY17,Bank Approved,Assessed,P159010,STP Strength. Growth & Fiscal Policy DPO,11/30/2016,A,000377165 | Rafael Chelles Barroso ~,0,0,Sao Tome and Principe,Firm,Macro Economics and Fiscal Management,DPO,No,GGEVP,Abha Prasad,AFE,AECC2,EAEM1,EFI-AFR1-MTI-MacroFiscal-1,Rafael Chelles Barroso,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,
 ,AECC2-AFE,FY17,Bank Approved,Assessed,P159037,DRC AG rehab & Recovery AF,3/22/2017,A,000149572 | Nora Kaoues ~ 000147161 | Amadou Oumar Ba,0,0,Congo Democratic Republic of,Firm,Agriculture and Food,Investment,No,GGSVP,Shobha Shetty,AFE,AECC2,SAEA2,Agriculture and Food PG AFR2,Nora Kaoues,Yes,,,,,,,,,,52.62%,22.652999999999999,16.809000000000001,39.462000000000003,0,0.52616,0,0,0,22.653,39.462,16.809,0,75,75,,,
 ,AECC2-AFE,FY17,Bank Approved,Assessed,P159160,DRC PFMAP AF,2/15/2017,A,000271010 | Saidou Diop ~,0,0,Congo Democratic Republic of,Firm,Governance,Investment,No,GGEVP,Hisham Ahmed Waly,AFE,AECC2,GGO25-HIS,HIS-GOV FAR - AFR 5,Saidou Diop,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,50,50,,,
 ,AECC2-AFE,FY17,Bank Approved,Assessed,P160612,DRC-PSRRP - Additional Financing,5/16/2017,A,000308032 | Boris Weber ~,0,0,Congo Democratic Republic of,Firm,Governance,Investment,No,GGEVP,Omowunmi Ladipo,AFE,AECC2,EAEG2,EFI-AFR1-GOV-FM & PS-2,Boris Weber,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,45,45,,,
 ,AECC2-AFE,FY17,Bank Approved,Assessed,P160770,AF EAC-FSDRP 1,9/30/2016,A,000341049 | Smita Wagh ~,0,0,Africa,Firm,Finance and Markets,Investment,No,GGEVP,Mehnaz S. Safavian,AFE,AECC2,EAWF2,EFI-AFR2-FCI-Finance-2,Smita Wagh,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,10.5,10.5,,,
 ,AECC2-AFE,FY17,Bank Approved,Assessed,P161447,Agro-Pastoral Prod. and Markets Dev.,12/15/2016,A,000463165 | Chakib Jenane ~ 000271936 | Omar Lyasse ~ 000087520 | Juvenal Nzambimana ~,0,0,Burundi,Firm,Agriculture and Food,Investment,No,GGSVP,Shobha Shetty,AFE,AECC2,SAEA2,Agriculture and Food PG AFR2,Chakib Jenane,Yes,,,,,,,,,,60.57%,10.588699999999999,4.5540000000000003,15.1427,0,0.605708,0,0,0,10.5887,15.1427,4.554,0,25,25,,,
 ,AECC2-AFE,FY16,,Assessed,P150148,DRC-Statistics Development Project,8/28/2015,A,000391710 | Yele Maweki Batana ~,0,0,Congo Democratic Republic of,,Poverty and Equity,Investment,No,GGEVP,Rinku Murgai,AFR,AECC2,EAEPV,EFI-AFR1-POV-Poverty and Equity,Yele Maweki Batana,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,45,45,,,
 ,AECC2-AFE,FY16,,Assessed,P151869,Burundi Coffee Sector Competitiveness Project,6/17/2016,A,000250111 | Benjamin Billard ~ 000108847 | Amadou Alassane,0,0,Burundi,,Agriculture and Food,Investment,No,GGSVP,Shobha Shetty,AFR,AECC2,SAEA2,Agriculture and Food PG AFR2,Benjamin Billard,Yes,,,,,,,,,,38.49%,4.3339999999999996,16.8355,21.169500000000003,0,0.3849,0,0,0,4.334,21.1695,16.8355,0,55,55,,,
 ,AECC2-AFE,FY16,,Assessed,P153836,DRC High Prirority Roads Reopening and Maintenance - 2nd Add,2/18/2016,A,000111585 | Alexandre K. Dossou ~,0,0,Congo Democratic Republic of,,Transport and Digital Development,Investment,No,GGIVP,Almud Weitz,AFR,AECC2,IAET1,Transport-East Africa,Alexandre K. Dossou,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,125,125,,,
 ,AECC2-AFE,FY16,,Assessed,P155266,DRC Urban Water Supply Project Additional Financing and Rest,2/25/2016,A,000266120 | Madio Fall ~,0,0,Congo Democratic Republic of,,Water,Investment,No,GGSVP,Soma Ghosh Moulik,AFR,AECC2,SAEW2,Water Africa 3,Madio Fall,Yes,,,,,,,,,,0%,0,0,0,0,0,0,0,0,0,0,0,0,166,166,,,
